80 632
 24 57 95
 24 64 97
 24 66 108
 24 70 102
 24 72 98
 24 74 101
 25 28 97
 25 33 100
 25 44 109
 25 45 100
 25 47 100
 25 56 96
 25 59 97
 25 60 98
 25 61 103
 25 66 103
 25 71 100
 25 76 95
 25 79 90
 26 32 103
 26 35 102
 26 37 102
 26 41 99
 26 42 98
 26 43 94
 26 47 95
 26 67 96
 26 68 103
 26 69 105
 26 74 103
 27 29 101
 27 30 103
 27 34 99
 27 40 99
 27 41 93
 27 45 99
 27 50 93
 27 57 96
 27 58 97
 27 61 103
 27 62 100
 27 63 89
 27 79 96
 27 80 94
 28 32 102
 28 47 100
 28 50 99
 28 60 98
 28 63 100
 28 68 111
 28 69 98
 28 71 106
 28 73 100
 28 76 99
 28 79 93
 29 30 106
 29 32 102
 29 38 107
 29 41 101
 29 44 98
 29 46 106
 29 48 99
 29 50 99
 29 57 98
 29 61 98
 29 62 102
 29 73 98
 29 74 108
 29 77 99
 29 79 98
 30 35 94
 30 40 104
 30 41 93
 30 48 91
 30 61 106
 30 79 99
 30 80 100
 31 35 101
 31 40 99
 31 51 104
 31 53 92
 31 60 96
 31 61 101
 31 65 98
 31 71 101
 31 74 104
 31 77 99
 32 34 100
 32 36 102
 32 45 99
 32 49 100
 32 50 92
 32 52 100
 32 55 105
 32 61 94
 32 62 110
 32 69 105
 32 71 104
 32 73 107
 33 48 94
 33 55 100
 33 57 93
 33 63 110
 33 65 93
 33 69 98
 33 78 106
 34 36 102
 34 38 96
 34 55 103
 34 67 90
 34 70 103
 35 38 103
 35 43 95
 35 49 99
 35 50 96
 35 63 105
 35 64 99
 35 74 98
 35 75 108
 35 78 108
 35 79 95
 35 80 100
 36 39 104
 36 40 97
 36 46 101
 36 47 111
 36 50 97
 36 51 102
 36 57 97
 36 69 100
 36 70 105
 36 78 89
 36 79 100
 37 40 99
 37 44 101
 37 49 91
 37 53 100
 37 54 95
 37 57 101
 37 60 98
 37 62 106
 37 68 106
 37 75 101
 38 42 100
 38 44 108
 38 50 103
 38 60 93
 38 79 98
 39 42 101
 39 43 98
 39 44 101
 39 46 104
 39 52 97
 39 62 92
 39 64 102
 39 65 89
 39 77 95
 40 44 108
 40 47 100
 40 54 103
 40 64 103
 40 67 98
 40 68 100
 40 72 101
 40 76 99
 40 78 95
 41 53 102
 41 57 97
 41 66 93
 41 71 98
 41 73 95
 41 78 100
 42 44 99
 42 57 108
 42 69 101
 43 48 99
 43 55 103
 43 59 95
 43 67 102
 43 70 93
 43 78 105
 45 55 102
 45 67 99
 45 68 100
 45 69 90
 45 71 103
 45 80 102
 46 48 98
 46 65 93
 46 67 100
 46 70 102
 46 71 96
 46 79 97
 46 80 107
 47 55 99
 47 56 102
 47 57 93
 47 59 98
 47 62 91
 47 64 95
 47 65 94
 47 67 93
 47 68 112
 48 49 107
 48 52 104
 48 65 94
 48 72 100
 49 51 102
 49 52 104
 49 53 97
 49 54 100
 49 66 97
 49 67 96
 49 71 93
 49 72 98
 49 73 101
 49 77 100
 50 54 101
 50 62 96
 50 63 102
 50 70 106
 51 56 102
 51 59 101
 51 64 109
 51 69 106
 51 70 94
 51 77 99
 52 53 99
 52 71 104
 52 79 101
 53 61 100
 53 63 93
 54 67 103
 54 75 102
 55 57 101
 55 58 96
 55 71 96
 55 77 99
 55 80 101
 56 57 94
 56 63 98
 56 67 98
 56 68 102
 56 70 105
 56 75 105
 56 78 108
 56 79 98
 57 70 100
 57 76 98
 57 79 97
 58 60 107
 58 62 97
 58 66 99
 59 79 104
 60 68 100
 60 78 103
 61 62 98
 61 79 101
 62 65 92
 62 67 109
 62 71 92
 63 65 100
 63 70 93
 63 73 96
 63 75 100
 64 73 105
 65 68 98
 65 73 99
 66 78 96
 66 80 101
 67 77 96
 67 79 99
 69 73 94
 69 74 91
 69 77 108
 69 78 105
 69 79 107
 71 73 98
 71 75 103
 72 73 99
 72 75 104
 72 76 98
 73 74 99
 73 75 95
 74 78 91
 75 79 105
 78 79 100
 78 80 103
	20
	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
